Well;;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66
Blank corrected based on Raw Data (600);58,1667;-0,0120;-0,0060;0,3150;1,5280;0,4070;0,4160;-0,0160;0,0740;0,3280;-0,0050;-0,0110;-0,0020;0,0100;0,2650;0,3180;0,3500;0,2690;-0,0170;0,2790;0,4070;-0,0070;-0,0110;0,0240;-0,0140;0,1850;0,2430;0,2900;0,2610;-0,0160;0,3540;0,4560;0,0850;-0,0100;-0,0120;-0,0170;0,3190;0,3940;0,2290;0,4180;-0,0150;0,1780;0,4160;-0,0050;-0,0050;0,1470;-0,0007;1,1900;0,7380;0,5240;0,6060;-0,0170;0,0990;0,3740;-0,0140;-0,0110;-0,0120;0,1800;0,0610;0,1210;0,2280;0,1550;-0,0070;0,0500;0,1120;0,0060;-0,0070
Blank corrected based on Raw Data (600);58,3333;-0,0120;-0,0150;0,3150;1,5200;0,4100;0,4960;-0,0150;0,0760;0,5050;-0,0060;-0,0100;0,0030;0,0030;0,2550;0,3210;0,3480;0,2680;-0,0130;0,2880;0,4100;-0,0060;-0,0110;0,0010;-0,0140;0,1830;0,2370;0,2920;0,2610;-0,0170;0,3690;0,4570;0,0860;-0,0110;-0,0110;-0,0160;0,3210;0,3930;0,2310;0,4170;-0,0160;0,1780;0,4180;-0,0060;-0,0040;0,0080;-0,0080;1,1950;1,1470;0,5280;0,6040;-0,0170;0,1010;0,3780;-0,0130;-0,0120;-0,0120;0,3170;0,0630;0,1210;0,2430;0,1570;0,0250;0,0500;0,1080;0,0080;0,0230
Blank corrected based on Raw Data (600);58,5000;-0,0040;-0,0150;0,3080;1,5560;0,4050;0,4150;-0,0160;0,0760;0,3900;-0,0060;-0,0110;0,0240;0,0009;0,2600;0,3210;0,3500;0,2670;-0,0150;0,3000;0,4080;-0,0060;-0,0110;-0,0010;-0,0090;0,1860;0,2400;0,2900;0,2590;-0,0170;0,3730;0,4590;0,0860;-0,0110;-0,0120;-0,0170;0,3250;0,3870;0,2290;0,4250;-0,0160;0,1790;0,4160;-0,0050;-0,0040;0,0020;-0,0010;1,1850;1,0160;0,5250;0,6120;-0,0160;0,1050;0,3730;-0,0130;-0,0110;-0,0120;0,3680;0,0650;0,1210;0,2330;0,1580;-0,0030;0,0490;0,1100;0,0030;-0,0060
Blank corrected based on Raw Data (600);58,6667;-0,0070;-0,0150;0,3060;1,5530;0,4070;0,4160;-0,0150;0,0780;1,2980;-0,0050;-0,0100;0,0220;0,0001;0,2650;0,3180;0,3510;0,2670;-0,0160;0,3110;0,4070;-0,0050;-0,0090;0,0620;-0,0160;0,1860;0,2430;0,2910;0,2600;-0,0170;0,3740;0,4560;0,0890;-0,0110;-0,0120;-0,0150;0,3260;0,3860;0,2290;0,4150;-0,0160;0,1770;0,4200;-0,0060;-0,0040;0,0040;0,0030;1,2200;1,0900;0,5240;0,6050;-0,0170;0,1080;0,4210;-0,0140;-0,0120;-0,0120;0,2530;0,0640;0,1220;0,2480;0,1580;0,0590;0,0490;0,1100;0,0030;-0,0070
Blank corrected based on Raw Data (600);58,8333;-0,0130;-0,0150;0,2970;1,5880;0,3980;0,4160;-0,0160;0,0800;0,4550;-0,0050;-0,0110;0,0050;0,0004;0,2610;0,3460;0,3730;0,2660;-0,0160;0,3230;0,4290;-0,0050;-0,0050;0,1400;-0,0140;0,1850;0,2850;0,2920;0,2540;-0,0160;0,3550;0,4450;0,0900;-0,0100;-0,0110;-0,0160;0,3810;0,4400;0,2240;0,4160;-0,0160;0,1610;0,4260;-0,0040;-0,0040;0,0300;0,0010;1,2550;1,1420;0,5400;0,6040;-0,0160;0,1100;0,3690;-0,0130;-0,0100;-0,0110;0,2630;0,0660;0,1240;0,2480;0,1590;-0,0140;0,0510;0,1090;0,0040;-0,0060
Blank corrected based on Raw Data (600);59,0000;-0,0130;-0,0150;0,3040;1,5860;0,4090;0,4140;-0,0150;0,0820;1,0900;-0,0050;-0,0110;0,0170;0,1060;0,2460;0,3180;0,3510;0,2650;-0,0140;0,3310;0,4050;-0,0040;-0,0110;0,0450;-0,0160;0,1850;0,2370;0,2890;0,2570;-0,0180;0,3870;0,4560;0,0910;-0,0110;-0,0120;-0,0160;0,3260;0,3890;0,2250;0,4110;-0,0170;0,1760;0,4210;-0,0050;-0,0040;0,0840;-0,0110;1,2220;1,1300;0,5210;0,6090;-0,0160;0,1120;0,3630;-0,0140;-0,0110;-0,0130;0,3180;0,0640;0,1230;0,2370;0,1590;0,0260;0,0500;0,1090;0,0030;-0,0070
Blank corrected based on Raw Data (600);59,1667;-0,0120;-0,0160;0,2960;1,5840;0,4100;0,4120;-0,0160;0,0830;0,7350;-0,0040;-0,0100;0,0150;0,0060;0,2360;0,3180;0,3500;0,2640;0,0110;0,3410;0,4050;-0,0050;-0,0110;0,0040;-0,0160;0,1850;0,2390;0,2910;0,2570;-0,0170;0,3900;0,4540;0,0930;-0,0100;-0,0120;-0,0160;0,3260;0,3850;0,2250;0,4100;-0,0160;0,1790;0,4220;-0,0040;-0,0050;0,1530;0,1190;1,2260;0,7660;0,5220;0,5960;-0,0170;0,1150;0,3580;-0,0140;-0,0120;-0,0120;0,1470;0,0650;0,1230;0,2400;0,1590;-0,0140;0,0510;0,1130;0,0040;-0,0070
Blank corrected based on Raw Data (600);59,3333;-0,0004;-0,0150;0,2970;1,6030;0,4080;0,4130;-0,0150;0,0860;0,8090;-0,0050;-0,0110;0,0060;0,0020;0,2380;0,3110;0,3510;0,2630;-0,0170;0,3520;0,4030;-0,0050;-0,0130;0,0050;-0,0150;0,1860;0,2370;0,2870;0,2570;-0,0180;0,4000;0,4510;0,0950;-0,0100;-0,0120;-0,0150;0,3250;0,3810;0,2230;0,4090;-0,0160;0,1780;0,4200;-0,0050;-0,0050;0,0250;0,0040;1,2170;0,7240;0,5180;0,6080;-0,0170;0,1170;0,3490;-0,0140;-0,0120;-0,0120;0,1330;0,0660;0,1260;0,2400;0,1610;-0,0150;0,0500;0,1070;0,0040;-0,0080
Blank corrected based on Raw Data (600);59,5000;-0,0130;-0,0140;0,2950;1,6100;0,4100;0,4130;-0,0170;0,0880;0,6560;-0,0050;-0,0110;0,1450;-0,0001;0,2330;0,3100;0,3500;0,2640;-0,0070;0,3620;0,4050;-0,0040;-0,0100;0,0010;-0,0080;0,1840;0,2360;0,2890;0,2560;-0,0110;0,4000;0,4500;0,0960;-0,0090;-0,0130;-0,0160;0,3300;0,3810;0,2250;0,4070;-0,0160;0,1790;0,4260;-0,0050;-0,0040;0,0340;-0,0130;1,2230;0,7520;0,5210;0,6180;-0,0170;0,1200;0,3400;-0,0140;-0,0110;-0,0130;0,3120;0,0660;0,1260;0,2480;0,1620;-0,0080;0,0490;0,1090;0,0040;-0,0070
Blank corrected based on Raw Data (600);59,6667;-0,0120;-0,0130;0,2940;1,6330;0,4070;0,4120;-0,0160;0,0900;0,7430;-0,0050;-0,0100;0,0780;0,0020;0,2340;0,3120;0,3510;0,2630;-0,0030;0,3720;0,4040;-0,0040;-0,0090;0,0060;-0,0140;0,1880;0,2350;0,2870;0,2550;-0,0170;0,4060;0,4510;0,0980;-0,0120;-0,0130;-0,0160;0,3300;0,3810;0,2230;0,4090;-0,0160;0,1780;0,4220;-0,0050;-0,0040;0,0500;-0,0020;1,2130;0,7320;0,5160;0,5990;-0,0160;0,1220;0,3340;-0,0140;-0,0120;-0,0120;0,1990;0,0660;0,1250;0,2500;0,1620;-0,0140;0,0510;0,1110;0,0050;-0,0080
Blank corrected based on Raw Data (600);59,8333;-0,0130;0,1260;0,2860;1,6650;0,3990;0,4120;-0,0150;0,0920;0,6030;-0,0050;-0,0100;0,0200;0,0020;0,2250;0,3400;0,3720;0,2620;-0,0100;0,3820;0,4240;-0,0040;-0,0090;0,0230;-0,0080;0,1910;0,2770;0,2890;0,2510;-0,0030;0,3780;0,4410;0,1000;-0,0110;-0,0110;-0,0150;0,3850;0,4290;0,2160;0,4050;-0,0150;0,1610;0,4290;-0,0030;-0,0040;0,0170;-0,0150;1,1800;0,7830;0,5340;0,5990;-0,0160;0,1260;0,3280;-0,0130;-0,0110;-0,0110;0,2050;0,0690;0,1280;0,2510;0,1620;-0,0090;0,0530;0,1290;0,0050;-0,0060
Blank corrected based on Raw Data (600);60,0000;-0,0120;-0,0140;0,2870;1,6620;0,4010;0,4120;-0,0150;0,0940;0,5180;-0,0050;-0,0100;0,0050;0,0030;0,2230;0,3390;0,3730;0,2620;0,0060;0,3880;0,4270;-0,0040;-0,0080;0,0060;-0,0070;0,1890;0,2820;0,2880;0,2510;-0,0050;0,3860;0,4390;0,1010;-0,0100;-0,0120;-0,0150;0,3900;0,4260;0,2150;0,4040;-0,0160;0,1630;0,4320;-0,0030;-0,0040;0,0350;-0,0040;1,1500;0,7280;0,5290;0,5930;-0,0160;0,1270;0,3160;-0,0130;-0,0100;-0,0110;0,1820;0,0690;0,1290;0,2600;0,1640;0,0180;0,0520;0,1430;0,0050;-0,0060
Blank corrected based on Raw Data (600);60,1667;-0,0120;-0,0150;0,2870;1,6150;0,4120;0,4090;-0,0160;0,0940;0,3390;-0,0040;-0,0100;0,0260;0,2640;0,2210;0,3090;0,3490;0,2600;-0,0090;0,3970;0,4020;-0,0030;-0,0070;0,0070;-0,0050;0,1900;0,2310;0,2860;0,2560;-0,0170;0,4190;0,4510;0,1030;-0,0110;-0,0120;-0,0150;0,3290;0,3750;0,2170;0,4010;-0,0160;0,1790;0,4230;-0,0030;-0,0040;0,0710;0,0100;1,2050;0,6740;0,5100;0,6060;-0,0170;0,1320;0,3040;-0,0130;-0,0120;-0,0120;0,1680;0,0670;0,1270;0,2470;0,1640;0,0120;0,0520;0,1220;0,0070;-0,0070
Blank corrected based on Raw Data (600);60,3333;-0,0130;0,0200;0,3100;1,6110;0,4060;0,4090;-0,0160;0,0970;1,0460;-0,0050;-0,0090;0,0200;0,0006;0,2150;0,3150;0,3490;0,2610;-0,0080;0,4070;0,4010;-0,0030;-0,0080;0,0050;-0,0100;0,1900;0,2350;0,2840;0,2530;-0,0170;0,4230;0,4510;0,1040;-0,0110;-0,0120;-0,0160;0,3370;0,3740;0,2190;0,4010;-0,0160;0,1800;0,4290;-0,0030;-0,0050;0,0710;-0,0120;1,2080;0,6430;0,5120;0,5860;-0,0180;0,1340;0,2990;-0,0140;-0,0120;-0,0110;0,3110;0,0660;0,1270;0,2430;0,1640;0,0060;0,0520;0,1140;0,0080;-0,0080
Blank corrected based on Raw Data (600);60,5000;-0,0140;-0,0140;0,2900;1,6000;0,4100;0,4100;-0,0140;0,0990;0,7190;-0,0050;-0,0110;-0,0002;0,0030;0,2190;0,3120;0,3520;0,2600;-0,0160;0,4150;0,3990;0,0750;0,0030;0,0850;-0,0160;0,1860;0,2350;0,2850;0,2520;-0,0010;0,4190;0,4480;0,1070;-0,0100;-0,0120;-0,0150;0,3370;0,3710;0,2200;0,4070;-0,0160;0,1800;0,4270;-0,0030;-0,0040;0,0070;0,0020;1,1890;0,6000;0,5130;0,5960;-0,0160;0,1380;0,2900;-0,0140;-0,0110;-0,0120;0,1990;0,0680;0,1270;0,2540;0,1650;-0,0130;0,0520;0,1160;0,0080;-0,0050
Blank corrected based on Raw Data (600);60,6667;-0,0130;0,1580;0,2850;1,6940;0,4000;0,4090;-0,0150;0,1010;0,4640;-0,0050;-0,0100;0,0270;0,0010;0,2130;0,3360;0,3750;0,2590;-0,0150;0,4240;0,4240;0,0630;0,0180;0,0200;-0,0150;0,1950;0,2810;0,2850;0,2480;-0,0170;0,3970;0,4370;0,1090;-0,0010;-0,0120;-0,0140;0,3950;0,4170;0,2110;0,3990;-0,0150;0,1640;0,4270;-0,0020;-0,0040;0,0050;-0,0140;1,1370;0,5950;0,5260;0,5860;-0,0160;0,1400;0,2880;-0,0130;-0,0110;-0,0110;0,3700;0,0690;0,1280;0,2350;0,1650;-0,0140;0,0540;0,1210;0,0080;-0,0070
Blank corrected based on Raw Data (600);60,8333;-0,0120;-0,0140;0,3090;1,5750;0,4000;0,4070;-0,0160;0,1020;0,5720;-0,0050;-0,0100;0,0120;0,0030;0,2120;0,3110;0,3520;0,2590;-0,0150;0,4300;0,3970;-0,0030;0,0030;0,0020;-0,0120;0,2080;0,2320;0,2840;0,2530;-0,0080;0,4230;0,4510;0,1090;-0,0110;-0,0130;-0,0150;0,3390;0,3670;0,2210;0,3990;-0,0160;0,1800;0,4290;-0,0020;-0,0050;0,0050;0,0090;1,1900;0,5620;0,5110;0,5870;-0,0170;0,1450;0,2820;-0,0130;-0,0110;-0,0120;0,1740;0,0680;0,1280;0,2610;0,1670;-0,0140;0,0530;0,1150;0,0090;-0,0080
Blank corrected based on Raw Data (600);61,0000;-0,0130;-0,0160;0,3010;1,5700;0,4040;0,4080;-0,0160;0,1050;0,8290;-0,0040;-0,0110;0,0200;0,0020;0,2090;0,3080;0,3500;0,2590;-0,0170;0,4360;0,3970;-0,0001;0,0000;0,0930;-0,0130;0,2040;0,2310;0,2840;0,2530;-0,0040;0,4270;0,4500;0,1110;-0,0110;-0,0120;-0,0170;0,3350;0,3680;0,2180;0,3970;-0,0160;0,1810;0,4300;-0,0030;-0,0040;0,0240;0,0080;1,1850;0,5630;0,5070;0,5970;-0,0160;0,1500;0,2780;-0,0140;-0,0110;-0,0120;0,2160;0,0690;0,1290;0,2640;0,1680;0,0110;0,0530;0,1170;0,0090;-0,0070
Blank corrected based on Raw Data (600);61,1667;-0,0130;-0,0150;0,2780;1,5400;0,4130;0,4060;-0,0150;0,1070;0,3360;-0,0040;-0,0110;0,0110;0,0010;0,2040;0,3020;0,3510;0,2580;-0,0150;0,4440;0,3970;-0,0020;-0,0030;0,0190;-0,0003;0,1960;0,2340;0,2830;0,2520;-0,0030;0,4220;0,4460;0,1140;-0,0100;-0,0130;-0,0160;0,3330;0,3650;0,2160;0,3950;-0,0160;0,1810;0,4250;-0,0010;-0,0040;0,0120;0,0110;1,1820;0,5310;0,5040;0,5810;-0,0160;0,1530;0,2750;-0,0130;-0,0120;-0,0120;0,2490;0,0700;0,1290;0,2550;0,1690;0,0680;0,0530;0,1190;0,0110;-0,0070
Blank corrected based on Raw Data (600);61,3333;-0,0130;-0,0150;0,2710;1,6570;0,4000;0,4080;-0,0150;0,1080;0,4000;-0,0050;-0,0100;0,0240;0,0020;0,2030;0,3350;0,3720;0,2580;0,0020;0,4520;0,4200;-0,0020;-0,0020;0,0020;0,0000;0,1940;0,2750;0,2830;0,2500;-0,0050;0,3970;0,4400;0,1160;-0,0120;-0,0130;-0,0150;0,3950;0,4170;0,2050;0,3950;-0,0150;0,1630;0,4270;-0,0010;-0,0040;0,0610;0,0110;1,0870;0,5530;0,5260;0,6010;-0,0160;0,1590;0,2700;-0,0120;-0,0110;-0,0130;0,1000;0,0720;0,1290;0,2680;0,1680;-0,0004;0,0530;0,1180;0,0090;-0,0070
Blank corrected based on Raw Data (600);61,5000;-0,0130;0,0400;0,2760;1,4200;0,4070;0,4070;-0,0160;0,1100;1,0370;-0,0040;-0,0110;0,0080;0,0020;0,1970;0,3030;0,3490;0,2570;-0,0170;0,4550;0,3940;-0,0020;-0,0030;0,0070;-0,0030;0,1980;0,2290;0,2810;0,2500;-0,0170;0,4250;0,4470;0,1150;-0,0110;-0,0120;-0,0150;0,3380;0,3680;0,2140;0,3930;-0,0170;0,1790;0,4260;-0,0010;-0,0040;0,0400;-0,0007;1,1620;0,5090;0,5020;0,5870;-0,0170;0,1630;0,2640;-0,0130;-0,0120;-0,0120;0,1470;0,0700;0,1310;0,2530;0,1690;0,0040;0,0540;0,1180;0,0220;-0,0070
Blank corrected based on Raw Data (600);61,6667;-0,0130;-0,0150;0,2730;1,4110;0,3990;0,4060;-0,0160;0,1100;0,3020;-0,0040;-0,0110;0,0180;0,0009;0,1950;0,3130;0,3480;0,2560;-0,0170;0,4590;0,3950;-0,0020;-0,0030;0,0580;0,0007;0,2020;0,2320;0,2800;0,2500;-0,0180;0,4210;0,4470;0,1170;-0,0110;-0,0130;-0,0160;0,3430;0,3660;0,2150;0,3890;-0,0170;0,1800;0,4270;-0,0010;-0,0050;0,0030;-0,0140;1,1390;0,5180;0,5100;0,5830;-0,0160;0,1670;0,2620;-0,0130;-0,0130;-0,0130;0,1220;0,0690;0,1310;0,2540;0,1700;0,0600;0,0530;0,1190;0,0110;-0,0080
Blank corrected based on Raw Data (600);61,8333;-0,0120;0,1750;0,2690;1,3350;0,4060;0,4040;-0,0160;0,1150;1,0960;-0,0050;-0,0110;0,0100;0,0070;0,1910;0,3060;0,3480;0,2550;-0,0160;0,4620;0,3940;-0,0020;-0,0020;0,0450;0,0020;0,1930;0,2330;0,2800;0,2490;-0,0190;0,4190;0,4480;0,1220;-0,0110;-0,0120;-0,0170;0,3450;0,3660;0,2110;0,3890;-0,0170;0,1800;0,4260;-0,0004;-0,0040;0,0490;0,0040;1,1250;0,5130;0,5100;0,5830;-0,0170;0,1710;0,2580;-0,0130;-0,0120;-0,0120;0,1850;0,0700;0,1310;0,2550;0,1710;-0,0140;0,0530;0,1190;0,0110;-0,0070
Blank corrected based on Raw Data (600);62,0000;-0,0130;-0,0150;0,2690;1,3160;0,4000;0,4040;-0,0160;0,1170;0,3050;-0,0040;-0,0110;0,0160;0,0260;0,1910;0,3070;0,3490;0,2540;-0,0160;0,4670;0,3930;-0,0008;-0,0020;0,0050;0,0030;0,2020;0,2330;0,2790;0,2500;-0,0170;0,4190;0,4430;0,1240;-0,0110;-0,0130;-0,0160;0,3440;0,3650;0,2130;0,3870;-0,0170;0,1800;0,4220;-0,0001;-0,0050;0,0910;-0,0120;1,1120;0,5180;0,5050;0,5910;-0,0180;0,1760;0,2560;-0,0130;-0,0130;-0,0120;0,1000;0,0700;0,1330;0,2570;0,1720;0,0010;0,0540;0,1210;0,0110;-0,0080
Blank corrected based on Raw Data (600);62,1667;-0,0120;0,0820;0,2720;1,1550;0,3960;0,4020;-0,0160;0,1190;0,9600;-0,0050;-0,0110;0,0160;-0,0005;0,1900;0,3100;0,3480;0,2550;-0,0170;0,4700;0,3940;-0,0008;-0,0100;0,0020;-0,0080;0,2040;0,2290;0,2800;0,2500;-0,0170;0,4180;0,4490;0,1280;-0,0110;-0,0120;-0,0160;0,3410;0,3610;0,2120;0,3860;-0,0160;0,1800;0,4300;-0,0008;-0,0050;0,0370;-0,0050;1,1080;0,5230;0,5120;0,5940;-0,0170;0,1800;0,2530;-0,0120;-0,0120;-0,0120;0,2560;0,0700;0,1310;0,2640;0,1710;-0,0140;0,0540;0,1190;0,0120;-0,0070
Blank corrected based on Raw Data (600);62,3333;-0,0130;-0,0160;0,2720;1,0070;0,4010;0,4030;-0,0160;0,1210;0,5930;-0,0040;-0,0110;0,0180;0,0040;0,1860;0,3070;0,3500;0,2540;-0,0080;0,4690;0,3950;0,0007;-0,0100;0,0020;-0,0040;0,2020;0,2300;0,2790;0,2480;-0,0170;0,4130;0,4430;0,1260;-0,0100;-0,0120;-0,0160;0,3430;0,3610;0,2130;0,3870;-0,0160;0,1810;0,4270;-0,0004;-0,0050;0,0120;0,0020;1,1030;0,5250;0,5120;0,5680;-0,0160;0,1830;0,2500;-0,0120;-0,0120;-0,0130;0,1580;0,0710;0,1320;0,2640;0,1710;-0,0140;0,0540;0,1180;0,0130;-0,0070
Blank corrected based on Raw Data (600);62,5000;-0,0120;0,0980;0,2690;0,9040;0,4050;0,4010;-0,0140;0,1240;0,4210;-0,0040;-0,0120;0,0250;0,0010;0,1820;0,3000;0,3480;0,2540;-0,0100;0,4710;0,3920;-0,0006;-0,0090;0,0570;-0,0009;0,2000;0,2300;0,2780;0,2670;-0,0170;0,4070;0,4410;0,1280;-0,0110;-0,0110;-0,0160;0,3440;0,3620;0,2110;0,3850;-0,0170;0,1810;0,4270;0,0000;-0,0050;0,0270;0,1370;1,0790;0,5260;0,5830;0,5800;-0,0170;0,1880;0,2460;-0,0120;-0,0120;-0,0130;0,3670;0,0710;0,1320;0,2680;0,1740;-0,0050;0,0550;0,1220;0,0130;-0,0070
Blank corrected based on Raw Data (600);62,6667;-0,0130;-0,0150;0,2720;0,8530;0,4040;0,4020;-0,0160;0,1310;0,8230;-0,0040;-0,0100;0,0140;0,0030;0,1880;0,2940;0,3480;0,2540;-0,0160;0,4720;0,3900;0,0010;-0,0070;0,0330;-0,0170;0,2080;0,2280;0,2780;0,2480;-0,0170;0,4070;0,4410;0,1310;-0,0110;-0,0120;-0,0170;0,3470;0,3620;0,2110;0,3850;-0,0170;0,1800;0,4270;-0,0001;-0,0050;0,0500;-0,0030;1,0700;0,5270;0,5070;0,5840;-0,0180;0,1930;0,2430;-0,0120;-0,0120;-0,0120;0,2780;0,0710;0,1330;0,2720;0,1730;-0,0060;0,0540;0,1250;0,0140;-0,0080
Blank corrected based on Raw Data (600);62,8333;-0,0130;-0,0150;0,2750;0,7620;0,4060;0,4020;-0,0160;0,1270;1,0030;-0,0040;-0,0110;-0,0003;0,1450;0,1810;0,2920;0,3490;0,2530;-0,0170;0,4720;0,3900;0,0008;-0,0010;0,0040;-0,0010;0,2030;0,2280;0,2760;0,2480;-0,0170;0,4030;0,4380;0,1330;-0,0100;-0,0130;-0,0150;0,3450;0,3590;0,2110;0,3810;-0,0170;0,1810;0,4290;0,0010;-0,0040;0,1320;-0,0100;1,0510;0,5330;0,5070;0,5770;-0,0160;0,1970;0,2400;-0,0120;-0,0130;-0,0120;0,2580;0,0710;0,1330;0,2720;0,1740;-0,0150;0,0540;0,1230;0,0140;-0,0070
Blank corrected based on Raw Data (600);63,0000;-0,0130;-0,0140;0,2670;0,6630;0,3990;0,4000;-0,0160;0,1300;0,3460;-0,0040;-0,0100;0,1030;0,0030;0,1750;0,3010;0,3480;0,2520;-0,0130;0,4710;0,3900;0,0010;0,0030;0,0009;0,0040;0,2040;0,2310;0,2760;0,2460;-0,0180;0,3990;0,4400;0,1330;-0,0110;-0,0120;-0,0160;0,3480;0,3560;0,2120;0,3810;-0,0170;0,1820;0,4220;0,0010;-0,0060;0,0210;-0,0150;1,0500;0,5350;0,5080;0,5820;-0,0170;0,2020;0,2380;-0,0130;-0,0130;-0,0100;0,1800;0,0700;0,1350;0,2570;0,1740;-0,0140;0,0540;0,1220;0,0160;-0,0070
Blank corrected based on Raw Data (600);63,1667;-0,0130;-0,0170;0,3210;0,8050;0,3980;0,4020;-0,0160;0,1330;0,3900;-0,0040;-0,0110;0,0040;0,0030;0,1780;0,3230;0,3700;0,2520;-0,0170;0,4710;0,4140;0,0020;0,0420;0,0490;0,0004;0,2090;0,2680;0,2780;0,2420;-0,0160;0,3790;0,4310;0,1340;-0,0110;-0,0120;-0,0160;0,4070;0,4070;0,1970;0,3800;-0,0170;0,1640;0,4310;0,0030;-0,0040;0,1300;-0,0050;0,9230;0,5400;0,5250;0,5830;-0,0160;0,2070;0,2400;-0,0110;-0,0110;-0,0110;0,2330;0,0710;0,1350;0,2770;0,1760;0,0070;0,0570;0,1280;0,0150;-0,0060
Blank corrected based on Raw Data (600);63,3333;0,0410;-0,0150;0,2660;0,5200;0,4070;0,3990;-0,0160;0,1360;0,3010;-0,0030;-0,0110;0,0004;0,0990;0,1770;0,2960;0,3480;0,2510;-0,0160;0,4680;0,3880;0,0020;0,0330;0,0050;-0,0003;0,2340;0,2240;0,2750;0,2460;-0,0180;0,3990;0,4390;0,1380;-0,0110;-0,0130;-0,0180;0,3430;0,3590;0,2080;0,3790;-0,0160;0,1800;0,4220;0,0030;-0,0050;0,0790;-0,0020;0,9360;0,5360;0,5040;0,5640;-0,0170;0,2110;0,2350;-0,0110;-0,0130;-0,0130;0,1850;0,0710;0,1430;0,2680;0,1760;-0,0130;0,0550;0,1240;0,0160;-0,0080
Blank corrected based on Raw Data (600);63,5000;-0,0130;-0,0130;0,2690;0,4850;0,4120;0,3980;-0,0150;0,1780;1,0500;-0,0040;-0,0110;0,0020;0,0020;0,1760;0,2980;0,3470;0,2500;-0,0190;0,4630;0,3870;0,0020;0,0160;0,0150;0,0010;0,2060;0,2280;0,2740;0,2460;-0,0170;0,3970;0,4420;0,1390;-0,0110;-0,0130;-0,0170;0,3470;0,3560;0,2090;0,3780;-0,0170;0,1820;0,4210;0,0020;-0,0040;0,1140;-0,0080;0,8280;0,5500;0,5030;0,5630;-0,0160;0,2180;0,2400;-0,0120;-0,0130;-0,0130;0,2570;0,0710;0,1340;0,2650;0,1770;-0,0140;0,0560;0,1260;0,0160;-0,0080
Blank corrected based on Raw Data (600);63,6667;-0,0130;-0,0160;0,2670;0,3910;0,4140;0,3980;-0,0150;0,1370;0,2970;0,0130;-0,0110;0,0010;0,0010;0,1750;0,2950;0,3460;0,2510;-0,0003;0,4600;0,3870;0,0030;0,0410;0,0120;-0,0002;0,1960;0,2290;0,2730;0,2470;-0,0180;0,3920;0,4390;0,1400;-0,0120;-0,0130;-0,0170;0,3490;0,3520;0,2090;0,3760;-0,0170;0,1820;0,4250;0,0050;-0,0050;0,1610;0,0040;0,8250;0,6000;0,5100;0,5630;-0,0170;0,2210;0,2330;-0,0120;-0,0130;-0,0130;0,2120;0,0740;0,1340;0,2690;0,1790;-0,0020;0,0550;0,1260;0,0590;-0,0070
Blank corrected based on Raw Data (600);63,8333;-0,0130;-0,0160;0,3070;0,4910;0,4020;0,3970;-0,0160;0,1430;1,2830;-0,0040;-0,0110;0,0040;0,0760;0,1750;0,3180;0,3730;0,2500;0,0040;0,4640;0,4100;0,0030;0,0350;0,0050;-0,0060;0,1920;0,2690;0,2760;0,2410;-0,0160;0,3730;0,4300;0,1350;-0,0100;-0,0110;-0,0150;0,4160;0,3990;0,1990;0,3770;-0,0170;0,1650;0,4260;0,0060;-0,0050;0,1290;-0,0020;0,7290;0,5510;0,5140;0,5630;-0,0160;0,2280;0,2350;-0,0110;-0,0110;-0,0120;0,1580;0,0740;0,1370;0,2720;0,1780;-0,0130;0,0570;0,1290;0,0160;-0,0060
Blank corrected based on Raw Data (600);64,0000;-0,0130;-0,0160;0,2630;0,2660;0,4110;0,3970;-0,0170;0,1460;1,2150;-0,0030;-0,0110;-0,0003;0,0050;0,1710;0,2970;0,3450;0,2500;-0,0180;0,4580;0,3870;0,0030;0,0110;0,2270;-0,0080;0,1990;0,2270;0,2730;0,2430;-0,0180;0,3880;0,4380;0,1440;-0,0120;-0,0130;-0,0170;0,3460;0,3470;0,2090;0,3750;-0,0170;0,1820;0,4180;0,0050;-0,0050;0,1240;-0,0130;0,8100;0,5340;0,5000;0,5550;-0,0180;0,2320;0,2330;-0,0120;-0,0120;-0,0130;0,1830;0,0720;0,1370;0,2700;0,1790;-0,0100;0,0550;0,1220;0,0180;-0,0070
